Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol,Perubahan_Pct,Target
29/09/2025,3.83415,3.79612,3.8403,3.79297,66.36,"1,01%",1
28/09/2025,3.79585,3.7906,3.8016,3.79055,8.09,"0,05%",1
26/09/2025,3.7939,3.7629,3.7987,3.7521,205.29,"1,00%",1
25/09/2025,3.7565,3.758,3.7759,3.739,1.35,"0,08%",0
24/09/2025,3.7534,3.7843,3.7985,3.7357,1.49,"-1,27%",0
23/09/2025,3.8018,3.7673,3.808,3.7593,2.29,"1,07%",1
22/09/2025,3.7616,3.7075,3.769,3.705,1.08,"1,08%",1
21/09/2025,3.72152,3.7213,3.7273,3.71815,9.3,"0,42%",1
19/09/2025,3.7058,3.6777,3.7196,3.6644,186.95,"0,75%",1
18/09/2025,3.6783,3.6925,3.7073,3.6605,224.13,"-1,06%",0
17/09/2025,3.7178,3.7273,3.744,3.6795,256.05,"-0,20%",0
16/09/2025,3.7251,3.7203,3.7399,3.7118,192.3,"0,16%",1
15/09/2025,3.719,3.6802,3.7249,3.6628,189.45,"0,88%",1
12/09/2025,3.6864,3.6728,3.6955,3.6673,154.56,"0,35%",1
11/09/2025,3.6736,3.6806,3.6875,3.651,214.61,"-0,23%",0
10/09/2025,3.682,3.662,3.6975,3.6514,182.03,"-0,01%",1
09/09/2025,3.6822,3.6766,3.7152,3.6637,262.66,"0,13%",1
08/09/2025,3.6774,3.635,3.6857,3.6217,227.64,"0,66%",1
05/09/2025,3.6533,3.602,3.6555,3.5954,237.65,"1,29%",1
04/09/2025,3.6067,3.6198,3.6216,3.5737,232.58,"-0,79%",0
03/09/2025,3.6355,3.6,3.6401,3.5924,220.79,"1,21%",1
02/09/2025,3.5922,3.5179,3.6024,3.506,374.14,"1,14%",1
01/09/2025,3.55182,3.51117,3.55687,3.50605,127.09,"1,13%",1
31/08/2025,3.512,3.51765,3.51765,3.5097,0.0,"-0,12%",0
29/08/2025,3.5161,3.4772,3.5185,3.463,188.55,"1,20%",1
